Word	seg	SegTrans	DepVar	td	POS	Gram	Gram2	PreSegTrans	FolSegTrans	PreSeg	FolSeg	Speaker	Recording	DictNSyl	NSyl	DictRate	Rate	FolWord	freq	log_freq	Context
accident	t	tq	Glot	1	NN	m	m	n	S	nasal	pause	s29	s2901a	7	6	3.668805406	3.144690348	<IVER>	7	1.945910149	her eye or the car accident <IVER> car accident i'd
accident	t	tq	Glot	1	NN	m	m	n	ay	nasal	vowel	s29	s2901a	9	8	5.815677904	5.169491471	i'd	7	1.945910149	the car accident <IVER> car accident i'd say about ten
accident	t	tq	Glot	1	NN	m	m	n	sh	nasal	sibilant	s29	s2901a	11	10	3.993558028	3.630507298	she's	7	1.945910149	<VOCNOISE> she's in a car accident she's got what's called
against	t	s	Del	0	IN	m	m	s	hh	sibilant	/h/	s29	s2903b	7	6	4.230509589	3.626151076	her	33	3.496507561	being <SIL> <CUTOFF-pres=president> their prejudice against her <VOCNOISE> <SIL> what
against	t	s	Del	0	IN	m	m	s	hh	sibilant	/h/	s29	s2903b	13	13	8.215846725	8.215846725	her	33	3.496507561	she's yelling at everybody's prejudice against her <VOCNOISE> <SIL> and
ain't	t	n	Del	0	VBP	n	n	n	y	nasal	/y/	s29	s2902b	7	7	3.404389425	3.404389425	you	25	3.218875825	to enforce and which laws ain't you <IVER> uh <SIL>
ain't	t	n	Del	0	NN	n	n	n	g	nasal	stop	s29	s2902b	12	11	1.147752581	1.052106532	gonna	25	3.218875825	but otherwise than that they ain't gonna do nothing <IVER>
ain't	t	n	Del	0	IN	n	n	n	n	nasal	/n/	s29	s2902a	5	5	5.72308291	5.72308291	no	25	3.218875825	<IVER> yknow <CUTOFF-ah=?> <SIL> <VOCNOISE> ain't no way in hell
ain't	t	t	Ret	1	VBD	n	n	n	S	nasal	pause	s29	s2903b	2	2	4.246942732	4.246942732	<SIL>	25	3.218875825	doing her work <SIL> she ain't <SIL> <IVER> but she's
ain't	t	n	Del	0	VB	n	n	n	g	nasal	stop	s29	s2902b	10	9	3.38651058	3.047859522	gonna	25	3.218875825	a gun or not he ain't gonna go to jail
ain't	t	nx	Del	0	IN	n	n	n	ey	nasal	vowel	s29	s2902b	6	5	5.403180853	4.50265071	a	25	3.218875825	kids scared of nothing <IVER> ain't a damn thing they're
ain't	t	n	Del	0	VBP	n	n	n	g	nasal	stop	s29	s2902b	7	6	4.486572649	3.8456337	gonna	25	3.218875825	do to me <IVER> they ain't gonna lock me up
